forecast,condition,group,policy,mean_cost,q95,q99,es95,maximum_cost,positive_excess,worse_fraction,guard_acceptance,crew_completion_fraction,crew_mean_completion_h,crew_total_travel_h,communication_loss,raw_infeasible_hours,infeasible_hours,curtailed_energy_kwh
weekly,matrix_scale_075,independent,central,500.25871006229886,1557.7771133422848,2779.7001489257805,2281.930729418992,3785.187744140625,1.6703790188883356,0.138671875,0.0,0.828145149736469,2.9607175861832316,1.7405924479166668,77.70578687226953,0,0,0.0
weekly,matrix_scale_075,independent,robust,499.03630856189125,1557.7771133422848,2779.7001489257805,2280.748763650655,3785.187744140625,0.4578945118182435,0.1103515625,0.0,0.8284103536014622,2.9654826356532196,1.7375651041666667,77.40214764984557,0,0,0.0
weekly,matrix_scale_075,independent,protected_0.001,498.7965214250941,1557.7771133422848,2779.7001489257805,2280.5205407440653,3785.187744140625,0.07835919465855143,0.0224609375,0.0439453125,0.8256927138618554,2.998035879895517,1.7449869791666668,77.33697729980122,0,0,0.0
weekly,matrix_scale_075,independent,observed,503.9019542305121,1564.64659576416,2779.7001489257805,2284.000266760587,3785.187744140625,5.2821921548512565,0.1865234375,0.0,0.8278731835569588,2.9472322789529146,1.7429361979166667,78.6006938799037,0,0,0.0
weekly,matrix_scale_125,published,matched,527.1209123463245,1654.0553245544427,2900.0726213073713,2359.4988641738883,3992.914367675781,0.0,0.0,0.0,0.8330997675703053,2.8475443075162348,1.7170084635416667,84.36078951949094,0,0,0.0
weekly,matrix_scale_125,published,central,526.124580431881,1654.0553245544427,2900.0726213073713,2356.9443387389174,3857.1326293945312,0.743398335238876,0.123046875,0.0,0.8352396229965877,2.8309479077330493,1.7205403645833333,84.14657373337832,0,0,0.0
weekly,matrix_scale_125,published,robust,528.2124911253345,1669.4804481506337,2957.9297511291475,2366.3666201233855,3857.1326293945312,2.6375043460775895,0.1884765625,0.0,0.8357086912621807,2.827474074356657,1.710595703125,84.6439821894819,0,0,0.0
weekly,matrix_scale_125,published,protected_0.001,526.2853768756034,1654.0553245544427,2900.0726213073713,2354.0354565381995,3857.1326293945312,0.016891130611030244,0.01953125,0.078125,0.8335607205960198,2.843265329599169,1.7172688802083333,84.17270787762027,0,0,0.0
weekly,matrix_scale_125,independent,matched,498.81958591141296,1557.7771133422848,2779.7001489257805,2280.646452575921,3785.187744140625,0.0,0.0,0.0,0.8251216982299331,3.0084981138214957,1.7458170572916667,77.33745115643615,0,0,0.0
weekly,matrix_scale_125,independent,central,498.7353280756378,1557.7771133422848,2779.7001489257805,2280.665965050458,3785.187744140625,0.1730480407727418,0.0830078125,0.0,0.8278900515455998,2.9795583032952164,1.7402018229166667,77.32984511044924,0,0,0.0
weekly,matrix_scale_125,independent,robust,503.8221726861685,1570.015834808349,2779.7001489257805,2313.160598844289,4106.131530761719,5.20320788488376,0.1259765625,0.0,0.8297709207848675,2.9490652586255792,1.7343098958333334,78.60009151628765,0,0,0.0
weekly,matrix_scale_125,independent,protected_0.001,498.75956302812034,1557.7771133422848,2779.7001489257805,2280.646452575921,3785.187744140625,0.02632775540055646,0.017578125,0.0439453125,0.8256559910969254,3.0050460247984203,1.7447591145833332,77.32592861999728,0,0,0.0
weekly,matrix_scale_125,independent,observed,498.94832736308524,1557.7771133422848,2779.7001489257805,2281.4657246768465,3785.187744140625,0.33735007041259424,0.095703125,0.0,0.8274394619116263,2.977811499124771,1.7436848958333333,77.33877417966141,0,0,0.0
